Influencer insta name,Category,Followers,Top audience country,Authentic engagement,Engagement average
jaimelorentelo,Cinema & Actors/actresses,14500000.0,Brazil,285100.0,381800.0
jairmessiasbolsonaro,Finance & Economics,19500000.0,Brazil,150900.0,212600.0
jakepaul,Cinema & Actors/actresses,19200000.0,United States,278200.0,465100.0
jamescharles,Beauty,23300000.0,United States,293900.0,432000.0
jamesrodriguez10,Sports with a ball,49100000.0,Colombia,506000.0,768300.0
jamorant,Lifestyle,5900000.0,United States,332900.0,537800.0
janhvikapoor,Lifestyle,16100000.0,India,951300.0,1100000.0
jannatzubair29,Cinema & Actors/actresses,41200000.0,India,614700.0,748600.0
jaspritb1,Lifestyle,9500000.0,India,466500.0,536000.0
jaybnow.hr,Music,6600000.0,Brazil,561300.0,731700.0
jaydacheaves,Clothing & Outfits,7000000.0,United States,128500.0,381300.0
jbalvin,Music,51900000.0,Mexico,273600.0,363000.0
jennaortega,Cinema & Actors/actresses,7400000.0,United States,257100.0,366100.0
jennierubyjane,Music,64800000.0,Indonesia,6200000.0,7400000.0
jennifer.garner,Cinema & Actors/actresses,12500000.0,United States,255600.0,289400.0
jenniferaniston,Cinema & Actors/actresses,40100000.0,Brazil,1600000.0,2300000.0
jenniferwinget1,Cinema & Actors/actresses,12300000.0,India,322300.0,391700.0
jennmuriel,Lifestyle,5500000.0,Colombia,451500.0,562600.0
jensenackles,Cinema & Actors/actresses,9100000.0,United States,504600.0,655900.0
jeremyrenner,Shows,17200000.0,United States,192900.0,230800.0
jeromepolin,Education,6500000.0,Indonesia,424200.0,622400.0
jesselingard,Sports with a ball,9500000.0,United Kingdom,192100.0,294500.0
jessicah_o,Music,9700000.0,United States,874500.0,1100000.0
jessicajane99,Lifestyle,6000000.0,Indonesia,441400.0,582300.0
jharden13,Sports with a ball,11700000.0,United States,137500.0,236500.0
jheneaiko,Music,14000000.0,United States,273800.0,481100.0
jichangwook,Cinema & Actors/actresses,19200000.0,Indonesia,920200.0,1200000.0
jimmyfallon,Shows,21300000.0,United States,97200.0,120900.0
jin,Music,32000000.0,United States,11100000.0,11100000.0
jin_bighitentertainment,Lifestyle,8500000.0,Indonesia,1200000.0,1400000.0
jinyoung_0922jy,Music,9300000.0,Indonesia,881400.0,1200000.0
jlo,Music,200800000.0,United States,429500.0,549900.0
joaogomescantor,Music,10800000.0,Brazil,335800.0,917800.0
joaoguilherme,Music,15500000.0,Brazil,116800.0,227100.0
joeyking,Music,19100000.0,Brazil,541100.0,774100.0
johnnyjsuh,Lifestyle,8100000.0,Indonesia,1300000.0,1600000.0
jojotodynho,Music,21700000.0,Brazil,117300.0,190100.0
jokowi,Finance & Economics,45800000.0,Indonesia,158000.0,196000.0
jongsuk0206,Cinema & Actors/actresses,22200000.0,Indonesia,2200000.0,2900000.0
jordialbaoficial,Sports with a ball,14100000.0,Spain,135700.0,196300.0
jorgelopez_as,Cinema & Actors/actresses,9700000.0,Brazil,211300.0,346300.0
joshu_acoustic,Music,4000000.0,United States,0.0,1000000.0
joshuadun,Music,5800000.0,United States,540300.0,660000.0
juandam___,Music,3500000.0,Colombia,772400.0,941200.0
juandediospantoja,Music,21500000.0,Mexico,519100.0,591800.0
juanpazurita,Cinema & Actors/actresses,28600000.0,Mexico,341700.0,485800.0
juansguarnizo,Music,4700000.0,Mexico,659600.0,722900.0
juicewrld999,Music,12200000.0,United States,493900.0,833200.0
juki_lop,Shows,9100000.0,Mexico,493000.0,573300.0
julesleblanc,Music,9700000.0,United States,409500.0,592100.0
julianapaes,Art/Artists,30200000.0,Brazil,61400.0,95200.0
juliette,Cinema & Actors/actresses,33700000.0,Brazil,201200.0,319800.0
jungkook_bighitentertainment,Management & Marketing,9900000.0,Brazil,1800000.0,2000000.0
jungkook.97,Music,35800000.0,United States,11400000.0,11400000.0
justinbieber,Music,227000000.0,India,439100.0,638200.0
justinbieber,Music,227400000.0,India,314200.0,445300.0
justintimberlake,Music,64200000.0,United States,323300.0,432900.0
juventus,Sports with a ball,52900000.0,India,61800.0,89400.0
k.kbeom,Music,5200000.0,Indonesia,1000000.0,1200000.0
k.mbappe,Sports with a ball,68900000.0,France,3000000.0,4300000.0
kajalaggarwalofficial,Cinema & Actors/actresses,21700000.0,India,527300.0,638000.0
kaka,Sports with a ball,17900000.0,Brazil,83600.0,136100.0
kaliuchis,Music,3700000.0,United States,399200.0,689700.0
kapilsharma,Cinema & Actors/actresses,39800000.0,India,690200.0,789300.0
kareenakapoorkhan,Lifestyle,8900000.0,India,367400.0,458300.0
karimbenzema,Sports with a ball,47400000.0,France,981200.0,1400000.0
karljacobs,Music,4000000.0,United States,722500.0,941700.0
karolg,Music,50800000.0,Mexico,4500000.0,5400000.0
kartikaaryan,Cinema & Actors/actresses,23800000.0,India,472200.0,588200.0
katherinelangford,Cinema & Actors/actresses,25700000.0,India,241900.0,346400.0
katrinakaif,Beauty,62900000.0,India,1000000.0,1100000.0
katyperry,Music,156600000.0,Brazil,231800.0,302600.0
kawtarbamo,Cinema & Actors/actresses,7200000.0,Morocco,275900.0,374100.0
kaylanicolejones,Shows,7300000.0,United States,166500.0,352700.0
keerthysureshofficial,Fashion,12500000.0,India,650700.0,743600.0
kehlani,Music,13700000.0,United States,210500.0,328200.0
kendalljenner,Modeling,227400000.0,United States,3400000.0,5500000.0
keniaos,Music,12600000.0,Mexico,545200.0,709000.0
kentooyamazaki,Cinema & Actors/actresses,4900000.0,Japan,583000.0,677100.0
kenzie,Art/Artists,14800000.0,United States,232400.0,353600.0
kevindebruyne,Sports with a ball,16800000.0,United Kingdom,247500.0,382900.0
kevinhart4real,Cinema & Actors/actresses,140200000.0,United States,111300.0,141000.0
kevinroldankr,Music,10100000.0,Mexico,180200.0,291400.0
khabib_nurmagomedov,Fitness & Gym,33300000.0,Russia,252600.0,353300.0
khaby00,Music,73900000.0,Iran,4300000.0,6500000.0
khloekardashian,Clothing & Outfits,230200000.0,United States,991100.0,1200000.0
kiaraaliaadvani,Cinema & Actors/actresses,22100000.0,India,828800.0,939300.0
kiernanshipka,Cinema & Actors/actresses,8100000.0,Brazil,207300.0,335800.0
kimberly.loaiza,Clothing & Outfits,33900000.0,Mexico,995000.0,1200000.0
kimjuncotton,Lifestyle,9700000.0,Indonesia,1400000.0,1700000.0
kimkardashian,Fashion,296400000.0,United States,2000000.0,2900000.0
kimshantal,Music,11600000.0,Mexico,203300.0,237800.0
kingarturo23oficial,Sports with a ball,16700000.0,Italy,120800.0,194800.0
kingbach,Music,22100000.0,United States,120600.0,242000.0
kingjames,Sports with a ball,116600000.0,United States,952900.0,1600000.0
kingryan,Fitness & Gym,8700000.0,United States,209500.0,316600.0
kittychicha,Lifestyle,4200000.0,Philippines,678800.0,823400.0
kjapa,Cinema & Actors/actresses,19000000.0,United States,1000000.0,1500000.0
kkvsh,Lifestyle,8200000.0,United States,198800.0,336600.0
klaythompson,Sports with a ball,11600000.0,United States,202300.0,294700.0
kourtneykardash,Lifestyle,166400000.0,United States,674500.0,961200.0
krisjenner,Shows,46600000.0,United States,119600.0,183400.0
kritisanon,Modeling,47300000.0,India,565500.0,658200.0
ksi,Music,11200000.0,United Kingdom,611700.0,857500.0
kun11xd,Lifestyle,6500000.0,Indonesia,802400.0,1000000.0
kunaguero,Sports with a ball,22400000.0,Argentina,458400.0,794500.0
kyliejenner,Fashion,323300000.0,United States,7600000.0,12300000.0
kyo1122,Cinema & Actors/actresses,12900000.0,Indonesia,636200.0,810500.0
kyrieirving,Sports with a ball,16200000.0,United States,142700.0,216800.0
l7nnon,Lifestyle,6300000.0,Brazil,214000.0,507900.0
la_segura,Cinema & Actors/actresses,8200000.0,Colombia,335200.0,411300.0
lacikaysomers,Music,11800000.0,United States,147500.0,253700.0
ladivaza,Music,6800000.0,Mexico,388900.0,474500.0
ladygaga,Music,51900000.0,United States,498300.0,700000.0
lakers,Sports with a ball,19300000.0,United States,85800.0,132400.0
lalalalisa_m,Music,75700000.0,Indonesia,7500000.0,8600000.0
lamborghini,Luxury,31600000.0,India,174400.0,240500.0
lanacondor,Cinema & Actors/actresses,10900000.0,Brazil,283000.0,385700.0
larasilva,Shows,16800000.0,Brazil,789000.0,1200000.0
larissamanoela,Cinema & Actors/actresses,44800000.0,Brazil,192100.0,320400.0
larray,Lifestyle,6700000.0,United States,357000.0,521500.0
laurenlondon,Cinema & Actors/actresses,9700000.0,United States,217700.0,371600.0
ldh_sky,Music,5500000.0,Indonesia,978400.0,1300000.0
leaelui,Modeling,11700000.0,India,428400.0,719500.0
leedongwook_official,Cinema & Actors/actresses,14100000.0,Indonesia,1000000.0,1400000.0
leeyoum262,Photography,8100000.0,South Korea,562700.0,688800.0
leighannepinnock,Music,8500000.0,Brazil,279100.0,398000.0
lelepons,Music,47700000.0,Mexico,724300.0,1100000.0
leomessi,Sports with a ball,315400000.0,Argentina,4000000.0,5300000.0
leonardodicaprio,Cinema & Actors/actresses,52800000.0,United States,132000.0,166200.0
ler_chek,Lifestyle,10500000.0,Russia,713000.0,923300.0
lestykejora,Music,24900000.0,Indonesia,372900.0,484000.0
letthelordbewithyou,Lifestyle,26500000.0,United States,61500.0,92200.0
lewishamilton,Racing Sports,27500000.0,Brazil,819900.0,1200000.0
lexibrookerivera,Shows,8400000.0,United States,778000.0,975400.0
liampayne,Music,24100000.0,United States,420400.0,585500.0
lilbaby,Music,18800000.0,United States,475400.0,876500.0
lildurk,Music,13000000.0,United States,162100.0,458200.0
lilireinhart,Cinema & Actors/actresses,29000000.0,Brazil,1500000.0,2200000.0
lilnasx,Music,12200000.0,United States,815500.0,1400000.0
liluzivert,Music,15800000.0,United States,1100000.0,2000000.0
lilyjcollins,Cinema & Actors/actresses,26900000.0,United States,314300.0,467300.0
linatejeiro,Cinema & Actors/actresses,9200000.0,Colombia,237700.0,287000.0
lisakudrow,Cinema & Actors/actresses,8500000.0,India,356600.0,475700.0
litkillah,Music,7200000.0,Argentina,438700.0,578400.0
littlebodybigheart,Music,11100000.0,Brazil,913100.0,1200000.0
littlemix,Music,15400000.0,Brazil,172100.0,232000.0
liverpoolfc,Sports with a ball,36700000.0,United Kingdom,100200.0,138200.0
lizakoshy,Cinema & Actors/actresses,19600000.0,United States,156300.0,208800.0
lizasoberano,Beauty,16900000.0,Philippines,243100.0,289900.0
lizgillz,Music,13900000.0,Mexico,563000.0,816300.0
lizzobeeating,Music,12100000.0,United States,213100.0,298300.0
loganpaul,Fitness & Gym,22500000.0,United States,549400.0,733800.0
lomon991111,Music,5700000.0,United States,0.0,1700000.0
loren,Fashion,22500000.0,United States,137300.0,227300.0
loud_babi,Lifestyle,9200000.0,Brazil,200100.0,323500.0
loud_victor,Lifestyle,10400000.0,Brazil,511200.0,652300.0
louist91,Music,18200000.0,Brazil,1100000.0,1500000.0
louisvuitton,Fashion,47700000.0,Brazil,46200.0,59700.0
lucas_lira,Humor & Fun & Happiness,5800000.0,Brazil,296500.0,434300.0
lucasranngel,Lifestyle,19200000.0,Brazil,186800.0,412300.0
lucyhale,Cinema & Actors/actresses,24300000.0,United States,183500.0,240400.0
ludmilla,Music,26500000.0,Brazil,143500.0,212600.0
luisafernandaw,Lifestyle,16900000.0,Colombia,106300.0,162100.0
luisasonza,Music,28200000.0,Brazil,125100.0,198900.0
luisitocomunica,Humor & Fun & Happiness,31700000.0,Mexico,939800.0,1200000.0
luissuarez9,Sports with a ball,43000000.0,Brazil,238800.0,356500.0
lukamodric10,Sports with a ball,21600000.0,Spain,419800.0,616300.0
lunay,Music,10300000.0,Mexico,202600.0,296600.0
luvadepedreiro,Music,9500000.0,Brazil,910400.0,2100000.0
lynaritaa,Music,8600000.0,United States,227100.0,299400.0
m_kayoung,Cinema & Actors/actresses,7900000.0,Indonesia,1100000.0,1500000.0
m10_official,Sports with a ball,24000000.0,Turkey,526600.0,738300.0
machinegunkelly,Music,9600000.0,United States,284000.0,457500.0
maddieziegler,Cinema & Actors/actresses,13900000.0,United States,533400.0,799900.0
madelame,Cinema & Actors/actresses,25300000.0,Russia,1300000.0,1800000.0
madelyncline,Music,12400000.0,United States,1600000.0,2300000.0
madhuridixitnene,Music,30600000.0,India,297200.0,343100.0
madisonbaileybabe,Lifestyle,6700000.0,United States,416400.0,779300.0
madisonbeer,Music,30600000.0,United States,630200.0,940900.0
mahnaz_afshar,Cinema & Actors/actresses,15700000.0,Iran,154300.0,212900.0
maisa,Music,42000000.0,Brazil,343700.0,468000.0
maluma,Music,61600000.0,Italy,329200.0,507600.0
malutrevejo,Music,11200000.0,United States,277200.0,496800.0
manchesterunited,Sports with a ball,56500000.0,United Kingdom,116600.0,188800.0
manelyk_oficial,Music,14100000.0,Mexico,179500.0,240400.0
maneskinofficial,Lifestyle,6000000.0,Italy,519400.0,733500.0
manurios,Shows,9900000.0,Mexico,572700.0,966000.0
marcelotwelve,Sports with a ball,53000000.0,Spain,413500.0,622200.0
marcmarquez93,Racing Sports,6600000.0,Indonesia,478200.0,634500.0
marcoasensio10,Sports with a ball,13600000.0,Spain,194300.0,298300.0
marcusrashford,Sports with a ball,12700000.0,United Kingdom,401900.0,635500.0
mariaalice,Music,6800000.0,Brazil,673400.0,1400000.0
mariabecerra,Music,8600000.0,Argentina,332300.0,785000.0
mariapedraza_,Cinema & Actors/actresses,12000000.0,Spain,279600.0,369000.0
marimaria,Beauty,19900000.0,Brazil,126600.0,242700.0
marinaruybarbosa,Cinema & Actors/actresses,39800000.0,Brazil,86600.0,130100.0
markiplier,Shows,9800000.0,United States,406500.0,463300.0
markruffalo,Cinema & Actors/actresses,20500000.0,Brazil,194300.0,244200.0
marktuan,Music,12100000.0,Thailand,667100.0,877200.0
marshmellomusic,Music,29200000.0,India,345600.0,406600.0
martingarrix,Music,15600000.0,Mexico,152800.0,216300.0
marvel,Cinema & Actors/actresses,62700000.0,United States,180100.0,212500.0
marvelstudios,Cinema & Actors/actresses,36100000.0,India,225500.0,252600.0
mathildtantot,Lifestyle,10300000.0,United States,310200.0,470000.0
matue30,Lifestyle,6100000.0,Brazil,186000.0,408100.0
maudeapatow,Lifestyle,4800000.0,United States,577000.0,955100.0
maudyayunda,Music,15400000.0,Indonesia,110900.0,163500.0
maxverstappen1,Racing Sports,8200000.0,United States,398700.0,524400.0
meganfox,Cinema & Actors/actresses,19900000.0,United States,2100000.0,3400000.0
mehraadjam,Music,4700000.0,Iran,385000.0,564100.0
mejiwoo103,Music,11100000.0,Indonesia,432400.0,521900.0
melissamelmaia,Music,11500000.0,Brazil,245100.0,444100.0
melo,Sports with a ball,8300000.0,United States,298100.0,605600.0
memezar,Cinema & Actors/actresses,23700000.0,United States,325600.0,484700.0
memphisdepay,Sports with a ball,14200000.0,France,191600.0,339100.0
mercedesbenz,Cars & Motorbikes,35300000.0,Iran,75000.0,106800.0
miakhalifa,Fitness & Gym,27700000.0,India,1500000.0,2300000.0
michaelbjordan,Cinema & Actors/actresses,18400000.0,United States,452900.0,751000.0
michaelclifford,Music,5800000.0,United States,291900.0,427900.0
michelleobama,Finance & Economics,49100000.0,United States,132300.0,150200.0
miguel_bernardeau,Cinema & Actors/actresses,7000000.0,Spain,260800.0,384500.0
miguel.g.herran,Cinema & Actors/actresses,14200000.0,Brazil,998200.0,1500000.0
miketyson,Fitness & Gym,18100000.0,United States,122800.0,157300.0
mikhail_litvin,Shows,14600000.0,Russia,972000.0,1200000.0
milad_khahhh,Lifestyle,5600000.0,Iran,365100.0,512700.0
mileycyrus,Music,163800000.0,United States,439700.0,594900.0
milliebobbybrown,Cinema & Actors/actresses,48200000.0,Brazil,2100000.0,2700000.0
mimikeene3,Cinema & Actors/actresses,4300000.0,United Kingdom,765800.0,1400000.0
min9yu_k,Music,6000000.0,Indonesia,1100000.0,1300000.0
mingue.k,Shows,3300000.0,Indonesia,893500.0,1100000.0
mirandacosgrove,Music,9800000.0,Brazil,213500.0,333600.0
mirella,Music,26600000.0,Brazil,230400.0,486700.0
missasinfonia,Music,4600000.0,Mexico,656800.0,752900.0
mo.on_air,Music,4400000.0,Indonesia,1200000.0,1400000.0
mohamedramadanws,Music,20100000.0,Egypt,93900.0,129900.0
mohanshakti,Art/Artists,14900000.0,India,207000.0,248000.0
mont.pantoja,Music,11400000.0,Mexico,498700.0,593700.0
mosalah,Sports with a ball,49000000.0,Egypt,1200000.0,1700000.0
mr_faisu_07,Modeling,26900000.0,India,362000.0,462100.0
mrbeast,Shows,18000000.0,United States,1400000.0,1800000.0
ms_puiyi,Adult content,17200000.0,United States,384000.0,491900.0
mterstegen1,Sports with a ball,13300000.0,Spain,280000.0,422000.0
myketowers,Music,9400000.0,Spain,207900.0,376100.0
na.jaemin0813,Music,8800000.0,Indonesia,1900000.0,2400000.0
nabilla,Beauty,7200000.0,France,266800.0,367400.0
nadin_serovski,Family,9400000.0,Russia,515700.0,710100.0
nadine,Music,11100000.0,Philippines,319900.0,354600.0
naileadevora,Shows,5000000.0,United States,482400.0,712700.0
nameisnani,Sports with a ball,4800000.0,India,517800.0,559000.0
nancyajram,Music,32400000.0,Iraq,140300.0,179500.0
narendramodi,Finance & Economics,66500000.0,India,1500000.0,1700000.0
narins_beauty,Lifestyle,8400000.0,Syria,351600.0,429000.0
nasa,Science,75300000.0,India,564500.0,653200.0
natalee.007,Modeling,6900000.0,United States,286600.0,366100.0
natashawilona12,Beauty,37500000.0,Indonesia,233300.0,278600.0
natgeo,Nature & landscapes,214600000.0,United States,124700.0,145500.0
natgeotravel,Nature & landscapes,45400000.0,United States,50600.0,56900.0
nattinatasha,Music,35400000.0,Mexico,281100.0,338300.0
navidmohammadzadeh,Cinema & Actors/actresses,8200000.0,Iran,541400.0,764000.0
nazriyafahadh,Lifestyle,5500000.0,India,371800.0,497800.0
nba,Sports with a ball,65800000.0,United States,40600.0,68200.0
ncentineo,Cinema & Actors/actresses,17000000.0,Brazil,200300.0,333600.0
nct,Music,13600000.0,Indonesia,624900.0,819900.0
nct_dream,Music,9200000.0,Indonesia,576300.0,642900.0
nct127,Music,13700000.0,Indonesia,787200.0,972300.0
nehakakkar,Music,68500000.0,India,664800.0,774400.0
nehasharmaofficial,Cinema & Actors/actresses,13900000.0,India,232800.0,267600.0
neslihanatagul,Cinema & Actors/actresses,13000000.0,Turkey,670600.0,842600.0
nessabarrett,Music,6600000.0,United States,340200.0,461300.0
netflix,Cinema & Actors/actresses,29500000.0,Brazil,65000.0,105900.0
netflixbrasil,Shows,29900000.0,Brazil,103700.0,177500.0
neymarjr,Sports with a ball,172000000.0,Brazil,1600000.0,2300000.0
niallhoran,Music,29400000.0,United States,1200000.0,1800000.0
nianaguerrero,Music,14000000.0,Indonesia,410600.0,514800.0
nicki.nicole,Music,11500000.0,Argentina,876200.0,1300000.0
nickiminaj,Music,181600000.0,United States,393700.0,615200.0
nickjonas,Music,32300000.0,United States,164000.0,233000.0
nickyjam,Music,42700000.0,Colombia,290900.0,347000.0
nicolegarcia,Lifestyle,5300000.0,Mexico,384900.0,503400.0
nike,Fitness & Gym,208900000.0,United States,129500.0,175500.0
nikefootball,Sports with a ball,44300000.0,Brazil,74800.0,117400.0
nikitadragun,Beauty,9100000.0,United States,368000.0,562100.0
nikkietutorials,Beauty,15600000.0,United States,353800.0,480500.0
nina,Cinema & Actors/actresses,25500000.0,Brazil,778500.0,1100000.0
nita_shilimkar,Fashion,10300000.0,India,351100.0,464900.0
noahbeck,Sports with a ball,9000000.0,United States,317300.0,523000.0
noahschnapp,Cinema & Actors/actresses,20100000.0,Brazil,1300000.0,1700000.0
nobru,Music,13200000.0,United States,0.0,350200.0
nobru,Machinery & Technologies,13200000.0,United States,0.0,350100.0
nodal,Music,8400000.0,Mexico,252400.0,415500.0
nolimitherbo,Music,7400000.0,United States,156200.0,374700.0
noorstars,Shows,12600000.0,Iraq,149500.0,199600.0
norafatehi,Cinema & Actors/actresses,38600000.0,India,865800.0,1100000.0
normani,Lifestyle,7000000.0,United States,313800.0,490900.0
nusr_et,Food & Cooking,43500000.0,Turkey,192900.0,285400.0
o.dembele7,Sports with a ball,10300000.0,Spain,468600.0,804000.0
obj,Sports with a ball,15800000.0,United States,339500.0,645800.0
obx,Music,5400000.0,United States,587300.0,1100000.0
officialslystallone,Art/Artists,14800000.0,United States,162900.0,206300.0
offsetyrn,Music,19700000.0,United States,313300.0,559800.0
oliviarodrigo,Music,22900000.0,India,2800000.0,3500000.0
onwardwanna,Lifestyle,5100000.0,United States,1000000.0,1700000.0
onyourm__ark,Music,8300000.0,Indonesia,1700000.0,2100000.0
oohsehun,Music,22900000.0,Indonesia,1900000.0,2400000.0
ozuna,Music,22200000.0,Spain,167100.0,225300.0
pablogavi,Music,3300000.0,United States,0.0,841600.0
paollaoliveirareal,Cinema & Actors/actresses,33600000.0,Brazil,127600.0,167400.0
parineetichopra,Cinema & Actors/actresses,35200000.0,India,357500.0,412100.0
paulodybala,Sports with a ball,45800000.0,Argentina,662900.0,1100000.0
paulolondra,Music,12600000.0,Argentina,1200000.0,1900000.0
paulpogba,Sports with a ball,52800000.0,Brazil,353400.0,628500.0
paulwalker,Cinema & Actors/actresses,14600000.0,India,217200.0,297800.0
paulwesley,Cinema & Actors/actresses,12200000.0,Brazil,640000.0,958000.0
pefabiodemelo,Lifestyle,25500000.0,Brazil,81600.0,122900.0
perrieedwards,Modeling,14500000.0,Brazil,523100.0,816700.0
perspolis,Sports with a ball,7600000.0,Iran,276500.0,393200.0
pewdiepie,Computers & Gadgets,21900000.0,United States,1200000.0,1400000.0
peytonlist,Cinema & Actors/actresses,19700000.0,United States,360000.0,541500.0
pharrell,Music,13500000.0,United States,126400.0,181100.0
phil.coutinho,Sports with a ball,24500000.0,Brazil,456200.0,740900.0
phoebejtonkin,Beauty,8200000.0,United States,236800.0,338600.0
phs1116,Business & Careers,9500000.0,Indonesia,2000000.0,2600000.0
playboicarti,Music,8000000.0,United States,1200000.0,2100000.0
playstation,Computers & Gadgets,28900000.0,United States,80500.0,99300.0
pokimanelol,Lifestyle,6000000.0,United States,526700.0,694800.0
pokrov90,Shows,7300000.0,Russia,350300.0,408100.0
polo.capalot,Music,10200000.0,United States,416900.0,685700.0
pooorblack,Music,4000000.0,Iran,530000.0,687400.0
porsche,Cars & Motorbikes,26400000.0,United States,97100.0,124400.0
postmalone,Music,22300000.0,United States,407300.0,623100.0
prattprattpratt,Cinema & Actors/actresses,35500000.0,United States,193000.0,250900.0
premierleague,Sports with a ball,55400000.0,United Kingdom,49500.0,69500.0
prideofgypsies,Cinema & Actors/actresses,16800000.0,United States,141000.0,181300.0
prillylatuconsina96,Cinema & Actors/actresses,46600000.0,Indonesia,56400.0,81600.0
priyankachopra,Cinema & Actors/actresses,75700000.0,India,643000.0,778200.0
psg,Sports with a ball,58000000.0,Brazil,295800.0,495000.0
pubity,Humor & Fun & Happiness,31600000.0,United States,214500.0,313300.0
pugachevmark,Cars & Motorbikes,10000000.0,Russia,358100.0,525900.0
quackity,Music,3200000.0,United States,666400.0,819100.0
quavohuncho,Music,20800000.0,United States,103000.0,170100.0
raashiikhanna,Cinema & Actors/actresses,8100000.0,India,256600.0,305900.0
rachel_mypark,Cinema & Actors/actresses,9700000.0,Indonesia,784600.0,977100.0
rachelvennya,Kids & Toys,6700000.0,Indonesia,176400.0,372500.0
rafaelnadal,Sports with a ball,14000000.0,Spain,228700.0,286300.0
rafaeluccman,Lifestyle,8600000.0,Brazil,227100.0,472900.0
rafakalimann,Modeling,22800000.0,Brazil,90900.0,163300.0
raffinagita1717,Shows,60600000.0,Indonesia,37400.0,52500.0
rahulkl,Sports with a ball,11900000.0,India,676900.0,788500.0
raisa6690,Music,30400000.0,Indonesia,60600.0,94000.0
rakulpreet,Cinema & Actors/actresses,19200000.0,India,334100.0,392500.0
ranveersingh,Cinema & Actors/actresses,38900000.0,India,314700.0,408400.0
raphaelvarane,Sports with a ball,18400000.0,Spain,200800.0,301400.0
rashmika_mandanna,Beauty,30000000.0,India,1700000.0,2000000.0
ratantata,Business & Careers,5900000.0,India,952200.0,1100000.0
rauwalejandro,Music,13700000.0,Spain,382400.0,553000.0
realbarbarapalvin,Modeling,17500000.0,Russia,480200.0,649000.0
realhinakhan,Cinema & Actors/actresses,16700000.0,India,189500.0,233600.0
realmadrid,Sports with a ball,113000000.0,Spain,407200.0,563100.0
realshadmehr,Music,7600000.0,Iran,330200.0,460800.0
realstraykids,Music,20100000.0,Indonesia,1700000.0,2000000.0
redvelvet.smtown,Music,11400000.0,Indonesia,327900.0,398900.0
reesewitherspoon,Cinema & Actors/actresses,27600000.0,United States,152500.0,183700.0
regejean,Music,5500000.0,Brazil,473600.0,750300.0
renebaebae,Lifestyle,9900000.0,Indonesia,1400000.0,1700000.0
residente,Music,8700000.0,Colombia,480400.0,743900.0
reynmen,Music,7000000.0,Turkey,418000.0,531500.0
rezagolzar,Cinema & Actors/actresses,11700000.0,Iran,178500.0,263100.0
riaricis1795,Lifestyle,30300000.0,Indonesia,868200.0,1100000.0
ricky_martin,Music,16700000.0,Argentina,141200.0,190400.0
rishabpant,Sports with a ball,6100000.0,India,496500.0,589600.0
riteishd,Art/Artists,13800000.0,India,282200.0,328900.0
riyadmahrez26.7,Sports with a ball,8500000.0,Algeria,333900.0,429900.0
riyaz.14,Lifestyle,26100000.0,India,399800.0,519500.0
rizkybillar,Shows,12600000.0,Indonesia,322100.0,414800.0
rizkyfbian,Music,12300000.0,Indonesia,133100.0,203600.0
rkive,Music,31300000.0,United States,8600000.0,8600000.0
robertdowneyjr,Cinema & Actors/actresses,51900000.0,India,1600000.0,2100000.0
roberto_firmino,Sports with a ball,13200000.0,Brazil,144600.0,214900.0
rockstargames,Computers & Gadgets,22300000.0,United States,108500.0,135200.0
rogerfederer,Sports with a ball,9200000.0,Spain,484700.0,627900.0
rohitsharma45,Sports with a ball,23300000.0,India,1100000.0,1200000.0
rohittt_09_,Shows,21200000.0,India,788700.0,1100000.0
romanreigns,Music,6000000.0,India,383100.0,497400.0
romeosantos,Music,19000000.0,United States,225000.0,277900.0
ronaldinho,Sports with a ball,65100000.0,Brazil,183800.0,317000.0
rosalia.vt,Music,19500000.0,Spain,737000.0,967100.0
roses_are_rosie,Music,57500000.0,Indonesia,4800000.0,5500000.0
ross_lynch,Music,10000000.0,United States,348300.0,695500.0
ruben_onsu,Cinema & Actors/actresses,37900000.0,Indonesia,64200.0,79500.0
rubyrose,Modeling,18800000.0,United States,171300.0,225700.0
rupertgrint,Music,4700000.0,Brazil,579000.0,821500.0
sabrinacarpenter,Music,27100000.0,Brazil,1100000.0,1300000.0
sachintendulkar,Sports with a ball,33500000.0,India,333400.0,399900.0
sadiesink_,Modeling,15300000.0,Brazil,1200000.0,1700000.0
sadiomaneofficiel,Sports with a ball,10400000.0,United Kingdom,350700.0,500300.0
saharghoreyshiofficialpage,Lifestyle,10700000.0,Iran,193800.0,283900.0
saipallavi.senthamarai,Music,5300000.0,India,819500.0,939300.0
salmahayek,Cinema & Actors/actresses,20900000.0,United States,212100.0,262500.0
samantharuthprabhuoffl,Beauty,22900000.0,India,584900.0,701500.0
samoylovaoxana,Family,15200000.0,Russia,897600.0,1200000.0
samsmith,Music,14600000.0,United States,223900.0,328400.0
sanchooo10,Sports with a ball,8300000.0,United Kingdom,411400.0,719600.0
sandrinna_11,Lifestyle,10400000.0,Indonesia,252200.0,321600.0
saraalikhan95,Cinema & Actors/actresses,39700000.0,India,247900.0,302000.0
sarahhyland,Cinema & Actors/actresses,9100000.0,United States,223000.0,278900.0
sarwendah29,Music,30800000.0,Indonesia,75400.0,89200.0
sav.labrant,Family,7000000.0,United States,597100.0,798400.0
saweetie,Cinema & Actors/actresses,13100000.0,United States,144700.0,336200.0
sebastianyatra,Music,29300000.0,Argentina,219300.0,305600.0
selenagomez,Music,308200000.0,United States,3300000.0,4400000.0
