Influencer insta name,Category,Followers,Top audience country,Authentic engagement,Engagement average
aron.piper,Music,13900000.0,Brazil,273100.0,515600.0
arsenal,Sports with a ball,21500000.0,United Kingdom,79900.0,120000.0
arthuraguiar,Music,12700000.0,Brazil,104100.0,236800.0
asalamaleh,Shows,6600000.0,Iraq,415900.0,514500.0
asaprocky,Music,14600000.0,United States,383600.0,641700.0
ashishchanchlani,Cinema & Actors/actresses,13300000.0,India,832600.0,1000000.0
ashleybenson,Modeling,22400000.0,Brazil,101000.0,144300.0
ashleygraham,Modeling,17200000.0,United States,392700.0,519500.0
aslisona,Cinema & Actors/actresses,21400000.0,India,110200.0,134100.0
ateez_official_,Music,6300000.0,United States,410900.0,472100.0
attahalilintar,Art/Artists,23100000.0,Indonesia,140200.0,192300.0
auba,Sports with a ball,12000000.0,United Kingdom,379300.0,602100.0
aum_patchrapa,Cinema & Actors/actresses,14100000.0,Thailand,150300.0,179200.0
aurelie.hermansyah,Beauty,25300000.0,Indonesia,475200.0,601100.0
avani,Beauty,18800000.0,United States,337000.0,451900.0
avneetkaur_13,Cinema & Actors/actresses,30500000.0,India,281300.0,341100.0
avrillavigne,Music,10700000.0,Brazil,211200.0,263000.0
awez_darbar,Shows,17800000.0,India,466000.0,558400.0
aykutelmas,Cinema & Actors/actresses,6800000.0,Turkey,321000.0,376500.0
badbunnypr,Music,38500000.0,United States,2500000.0,3900000.0
badgalriri,Music,125100000.0,United States,2800000.0,4600000.0
baifernbah,Lifestyle,10400000.0,Indonesia,224500.0,284600.0
bambam1a,Music,16000000.0,Brazil,684300.0,863000.0
barackobama,Finance & Economics,35400000.0,United States,148300.0,174600.0
barbieferreira,Music,6100000.0,United States,635500.0,1200000.0
bbrightvc,Cinema & Actors/actresses,13500000.0,Indonesia,1700000.0,2000000.0
bclsinclair,Music,20200000.0,Indonesia,153500.0,242600.0
beberexha,Music,10800000.0,India,221500.0,327000.0
bebytsabina,Modeling,7100000.0,Indonesia,243400.0,373900.0
beingsalmankhan,Cinema & Actors/actresses,50700000.0,India,474600.0,604400.0
belindapop,Music,14900000.0,Mexico,136700.0,197000.0
bellahadid,Modeling,50600000.0,United States,566900.0,905300.0
bellapoarch,Music,14300000.0,United States,859500.0,1200000.0
bellathorne,Music,25200000.0,United States,289500.0,485700.0
bernardokath,Beauty,16800000.0,Philippines,452700.0,545400.0
beyonce,Music,246900000.0,United States,2600000.0,3700000.0
bhadbhabie,Music,16400000.0,United States,143100.0,268000.0
bhuvan.bam22,Cinema & Actors/actresses,14200000.0,India,741000.0,915800.0
bianca,Beauty,17700000.0,Brazil,73600.0,172200.0
bibisbeautypalace,Family,7800000.0,Germany,322700.0,369600.0
bighit_ent,Music,13000000.0,Indonesia,721300.0,888500.0
bigsean,Music,14600000.0,United States,169900.0,310300.0
billieeilish,Music,101700000.0,United States,2600000.0,3400000.0
bizarrap,Music,11500000.0,Argentina,920800.0,1100000.0
blackpinkofficial,Music,46200000.0,Indonesia,1100000.0,1400000.0
blakelively,Cinema & Actors/actresses,32000000.0,United States,827100.0,1300000.0
bleacherreport,Sports with a ball,18400000.0,United States,103800.0,204700.0
blythe,Cinema & Actors/actresses,13400000.0,Philippines,196900.0,224100.0
bmw,Cars & Motorbikes,33100000.0,India,73100.0,97600.0
bn_sj2013,Cinema & Actors/actresses,21400000.0,Indonesia,2500000.0,2900000.0
bobbyindaeyo,Music,3400000.0,Indonesia,679100.0,791200.0
borodylia,Shows,18200000.0,Russia,123000.0,153200.0
bramastavrl,Cinema & Actors/actresses,23700000.0,Indonesia,109100.0,138900.0
brentrivera,Music,22100000.0,United States,888300.0,1200000.0
bretmanrock,Art/Artists,18300000.0,United States,551000.0,927900.0
brfootball,Sports with a ball,11900000.0,United States,146000.0,236000.0
briandadeyanara,Music,12600000.0,Mexico,355200.0,417300.0
brianmaps,Photography,5800000.0,Russia,608400.0,627900.0
britneyspears,Music,40200000.0,United States,180500.0,251600.0
brunamarquezine,Cinema & Actors/actresses,42600000.0,Brazil,485200.0,837200.0
brunomars,Music,24900000.0,Brazil,328700.0,499000.0
brycehall,Music,7500000.0,United States,279200.0,358700.0
bts.bighitofficial,Music,61700000.0,Indonesia,2400000.0,2600000.0
bugatti,Cars & Motorbikes,16100000.0,United States,124100.0,168500.0
bumkeyk,Music,9000000.0,Indonesia,376300.0,451600.0
burakozcivit,Cinema & Actors/actresses,20500000.0,Turkey,492800.0,597500.0
burcuozberk,Cinema & Actors/actresses,9000000.0,Turkey,560900.0,725600.0
bypamella,Shows,9400000.0,Brazil,237700.0,406800.0
c.syresmith,Cinema & Actors/actresses,18600000.0,United States,190100.0,294600.0
camerondallas,Cinema & Actors/actresses,23000000.0,United States,104800.0,182600.0
camila_cabello,Music,60900000.0,Brazil,305400.0,418100.0
camilaloures,Shows,17600000.0,Brazil,131500.0,196300.0
camilladelucas,Beauty,10800000.0,Brazil,205200.0,376800.0
camilo,Music,26400000.0,Argentina,252300.0,398900.0
camimendes,Cinema & Actors/actresses,26800000.0,Brazil,1100000.0,1600000.0
canelo,Fitness & Gym,12800000.0,Mexico,203000.0,282200.0
canyaman,Cinema & Actors/actresses,9300000.0,Italy,324400.0,402800.0
caradelevingne,Modeling,43300000.0,United States,130100.0,182800.0
carlinhosmaiaof,Lifestyle,24800000.0,Brazil,441900.0,810700.0
carryminati,Computers & Gadgets,15000000.0,India,885800.0,1000000.0
casemiro,Sports with a ball,14000000.0,Spain,149800.0,224100.0
caviarmagnat,Music,13300000.0,Russia,148600.0,214400.0
cazzu,Music,9800000.0,Argentina,396200.0,508000.0
cbum,Fitness & Gym,6600000.0,United States,248700.0,410600.0
celestebarber,Humor & Fun & Happiness,8900000.0,United States,364800.0,393200.0
chaelincl,Art/Artists,9800000.0,Brazil,259000.0,342500.0
championsleague,Sports with a ball,91400000.0,Brazil,255300.0,344400.0
channingtatum,Cinema & Actors/actresses,17000000.0,United States,272100.0,393200.0
charles_leclerc,Racing Sports,6600000.0,Italy,473900.0,629200.0
charlidamelio,Lifestyle,47700000.0,United States,1500000.0,1900000.0
charlieputh,Music,15700000.0,United States,320500.0,456200.0
chelseafc,Sports with a ball,33200000.0,Indonesia,115700.0,172400.0
chiaraferragni,Beauty,26700000.0,Italy,372000.0,616600.0
chloegmoretz,Cinema & Actors/actresses,20100000.0,United States,292900.0,392500.0
choi_seung_hyun_tttop,Music,13600000.0,Indonesia,337700.0,400700.0
choquei,Literature & Journalism,17000000.0,Brazil,90100.0,279500.0
chrisbrownofficial,Music,106000000.0,United States,157100.0,241900.0
chrisevans,Music,14800000.0,United States,2000000.0,2400000.0
chrishemsworth,Cinema & Actors/actresses,54000000.0,India,776600.0,998100.0
chrissyteigen,Shows,37400000.0,United States,158000.0,205500.0
ciara,Music,31300000.0,United States,199400.0,270600.0
claaragalle,Music,3200000.0,Mexico,425200.0,771600.0
claireholt,Cinema & Actors/actresses,7400000.0,United States,304100.0,415400.0
claragnds,Music,6400000.0,Brazil,153400.0,386600.0
clean_0828,Lifestyle,5500000.0,Indonesia,1300000.0,1600000.0
cocielo,Cinema & Actors/actresses,17800000.0,Brazil,360600.0,564800.0
coldplay,Music,15400000.0,Brazil,274000.0,381300.0
cole.labrant,Lifestyle,5000000.0,United States,412600.0,580800.0
colesprouse,Modeling,36000000.0,United States,352700.0,459300.0
colleen,Family,7500000.0,United States,368300.0,463600.0
conangray,Music,5700000.0,Brazil,785400.0,1200000.0
courteneycoxofficial,Cinema & Actors/actresses,12100000.0,India,319900.0,421900.0
cristiano,Sports with a ball,419600000.0,India,5700000.0,7000000.0
cvillaloboss,Shows,19200000.0,Colombia,247300.0,305100.0
cznburak,Food & Cooking,32900000.0,Turkey,615200.0,836000.0
d_a___m_i,Music,4300000.0,Indonesia,1100000.0,1400000.0
